Date,Interest_Rate,Inflation_Rate,Unemployment_Rate
2002-12-01,5.48,2.36,5.6
2003-01-01,5.85,2.62,5.51
2003-02-01,5.94,3.01,5.64
2003-03-01,5.71,3.21,6.02
2003-04-01,5.84,1.38,5.88
2003-05-01,5.64,0.97,5.92
2003-06-01,5.8,3.78,6.45
2003-07-01,6.03,2.83,6.38
2003-08-01,5.87,1.75,7.38
2003-09-01,6.06,4.05,5.42
2003-10-01,6.14,2.62,7.41
2003-11-01,6.31,3.68,7.6
2003-12-01,6.69,2.57,6.05
2004-01-01,6.64,4.56,7.02
2004-02-01,6.49,4.26,7.12
2004-03-01,6.31,2.25,6.71
2004-04-01,6.14,3.47,7.13
2004-05-01,6.13,3.15,7.06
2004-06-01,6.2,3.87,8.59
2004-07-01,6.25,1.54,8.28
2004-08-01,6.42,3.19,8.54
2004-09-01,6.42,3.56,8.36
2004-10-01,6.71,0.74,7.52
2004-11-01,6.66,1.32,7.91
2004-12-01,7.2,0.46,8.5
2005-01-01,7.33,2.23,7.72
2005-02-01,7.16,3.22,8.76
2005-03-01,6.94,4.0,8.35
2005-04-01,7.04,2.57,8.35
2005-05-01,6.99,4.13,8.95
2005-06-01,7.14,1.12,8.88
2005-07-01,7.23,0.8,8.53
2005-08-01,7.22,2.44,9.34
2005-09-01,7.05,2.88,8.26
2005-10-01,6.74,2.47,9.15
2005-11-01,6.66,0.43,9.18
2005-12-01,6.83,2.41,8.76
2006-01-01,6.87,1.2,9.1
2006-02-01,6.62,3.17,8.33
2006-03-01,6.66,2.87,9.44
2006-04-01,6.73,1.56,8.9
2006-05-01,6.56,1.99,8.74
2006-06-01,6.59,1.44,9.52
2006-07-01,6.6,2.44,8.65
2006-08-01,6.37,3.46,8.29
2006-09-01,6.44,1.51,8.2
2006-10-01,6.55,3.0,9.27
2006-11-01,6.77,1.97,8.3
2006-12-01,6.98,1.71,9.8
2007-01-01,6.7,2.39,7.85
2007-02-01,6.52,1.46,9.7
2007-03-01,6.62,1.95,8.92
2007-04-01,6.72,1.3,8.72
2007-05-01,6.83,4.46,8.45
2007-06-01,7.6,2.54,8.87
2007-07-01,7.71,1.8,8.6
2007-08-01,7.94,2.71,9.11
2007-09-01,8.13,2.39,8.55
2007-10-01,8.26,2.28,8.5
2007-11-01,8.2,3.11,8.17
2007-12-01,8.35,3.26,8.24
2008-01-01,8.19,1.97,8.35
2008-02-01,8.15,1.92,7.25
2008-03-01,8.05,2.22,7.35
2008-04-01,8.06,0.2,8.3
2008-05-01,8.53,0.98,7.92
2008-06-01,8.15,3.87,7.65
2008-07-01,8.29,4.14,7.65
2008-08-01,7.97,2.25,7.72
2008-09-01,7.87,3.08,7.17
2008-10-01,8.09,2.81,6.94
2008-11-01,8.11,5.58,7.32
2008-12-01,7.89,3.62,6.63
2009-01-01,7.75,2.37,7.21
2009-02-01,7.88,1.54,6.04
2009-03-01,7.74,0.89,7.29
2009-04-01,7.78,2.7,6.9
2009-05-01,7.79,1.74,6.67
2009-06-01,7.66,1.08,6.92
2009-07-01,8.09,1.85,7.14
2009-08-01,8.21,1.42,6.69
2009-09-01,7.81,4.19,5.15
2009-10-01,7.85,3.38,5.31
2009-11-01,7.71,2.49,5.52
2009-12-01,7.88,3.98,5.72
2010-01-01,7.73,2.58,5.85
2010-02-01,7.7,1.64,5.11
2010-03-01,7.8,4.02,5.45
2010-04-01,7.98,3.04,4.86
2010-05-01,7.74,1.46,4.82
2010-06-01,7.67,2.31,4.31
2010-07-01,7.58,1.62,4.44
2010-08-01,7.44,1.12,4.11
2010-09-01,7.8,3.43,4.19
2010-10-01,7.88,4.41,5.1
2010-11-01,7.63,1.1,3.99
2010-12-01,7.81,3.06,5.68
